municipality,urbanicity_level,inhabitants,largest_party
groningen,1.0,238179,GROENLINKS / Partij van de Arbeid (PvdA)
gulpen-wittem,5.0,14204,PVV (Partij voor de Vrijheid)
haaksbergen,3.0,24503,Nieuw Sociaal Contract
haarlem,1.0,165358,GROENLINKS / Partij van de Arbeid (PvdA)
haarlemmermeer,2.0,162269,PVV (Partij voor de Vrijheid)
halderberge,4.0,31043,PVV (Partij voor de Vrijheid)
hardenberg,4.0,62505,PVV (Partij voor de Vrijheid)
harderwijk,2.0,48910,PVV (Partij voor de Vrijheid)
hardinxveld-giessendam,3.0,18681,PVV (Partij voor de Vrijheid)
harlingen,3.0,16212,PVV (Partij voor de Vrijheid)
hattem,4.0,12563,PVV (Partij voor de Vrijheid)
heemskerk,2.0,39438,PVV (Partij voor de Vrijheid)
heemstede,2.0,27785,VVD
heerde,4.0,19216,PVV (Partij voor de Vrijheid)
heerenveen,3.0,51637,PVV (Partij voor de Vrijheid)
heerlen,2.0,87107,PVV (Partij voor de Vrijheid)
heeze-leende,4.0,16635,PVV (Partij voor de Vrijheid)
heiloo,3.0,24309,VVD
hellendoorn,4.0,36245,Nieuw Sociaal Contract
helmond,2.0,94898,PVV (Partij voor de Vrijheid)
hendrik-ido-ambacht,2.0,32185,PVV (Partij voor de Vrijheid)
hengelo,2.0,82343,Nieuw Sociaal Contract
het hogeland,5.0,48312,PVV (Partij voor de Vrijheid)
heumen,4.0,16793,GROENLINKS / Partij van de Arbeid (PvdA)
heusden,3.0,45825,PVV (Partij voor de Vrijheid)
hillegom,2.0,22452,PVV (Partij voor de Vrijheid)
hilvarenbeek,4.0,15953,PVV (Partij voor de Vrijheid)
hilversum,1.0,93453,GROENLINKS / Partij van de Arbeid (PvdA)
hoeksche waard,4.0,89769,PVV (Partij voor de Vrijheid)
hof van twente,4.0,35459,Nieuw Sociaal Contract
hollands kroon,5.0,49429,PVV (Partij voor de Vrijheid)
hoogeveen,3.0,56441,PVV (Partij voor de Vrijheid)
hoorn,2.0,75230,PVV (Partij voor de Vrijheid)
horst aan de maas,4.0,43651,PVV (Partij voor de Vrijheid)
houten,2.0,50580,VVD
huizen,2.0,41248,PVV (Partij voor de Vrijheid)
hulst,4.0,27596,PVV (Partij voor de Vrijheid)
ijsselstein,2.0,33484,PVV (Partij voor de Vrijheid)
kaag en braassem,4.0,28569,PVV (Partij voor de Vrijheid)
kampen,3.0,55616,PVV (Partij voor de Vrijheid)
kapelle,4.0,13047,PVV (Partij voor de Vrijheid)
katwijk,2.0,66605,PVV (Partij voor de Vrijheid)
kerkrade,2.0,45636,PVV (Partij voor de Vrijheid)
koggenland,5.0,23513,PVV (Partij voor de Vrijheid)
krimpen aan den ijssel,2.0,29506,PVV (Partij voor de Vrijheid)
krimpenerwaard,4.0,57691,PVV (Partij voor de Vrijheid)
laarbeek,4.0,23250,PVV (Partij voor de Vrijheid)
land van cuijk,4.0,91447,PVV (Partij voor de Vrijheid)
landgraaf,3.0,37194,PVV (Partij voor de Vrijheid)
landsmeer,3.0,11706,PVV (Partij voor de Vrijheid)
lansingerland,3.0,64741,PVV (Partij voor de Vrijheid)
laren,3.0,11718,VVD
leeuwarden,2.0,127088,GROENLINKS / Partij van de Arbeid (PvdA)
leiden,1.0,127079,GROENLINKS / Partij van de Arbeid (PvdA)
leiderdorp,1.0,27670,PVV (Partij voor de Vrijheid)
leidschendam-voorburg,1.0,77759,VVD
lelystad,3.0,83055,PVV (Partij voor de Vrijheid)
leudal,5.0,36133,PVV (Partij voor de Vrijheid)
leusden,3.0,31488,VVD
lingewaard,4.0,47217,PVV (Partij voor de Vrijheid)
lisse,2.0,23395,PVV (Partij voor de Vrijheid)
lochem,4.0,34312,VVD
loon op zand,3.0,23795,PVV (Partij voor de Vrijheid)
lopik,5.0,14707,PVV (Partij voor de Vrijheid)
losser,4.0,23366,Nieuw Sociaal Contract
maasdriel,5.0,26011,PVV (Partij voor de Vrijheid)
maasgouw,5.0,24303,PVV (Partij voor de Vrijheid)
maashorst,3.0,58936,PVV (Partij voor de Vrijheid)
maassluis,2.0,35301,PVV (Partij voor de Vrijheid)
maastricht,1.0,122632,PVV (Partij voor de Vrijheid)
medemblik,4.0,46040,PVV (Partij voor de Vrijheid)
meerssen,4.0,18600,PVV (Partij voor de Vrijheid)
meierijstad,3.0,83710,PVV (Partij voor de Vrijheid)
meppel,3.0,35473,PVV (Partij voor de Vrijheid)
middelburg,2.0,49965,GROENLINKS / Partij van de Arbeid (PvdA)
midden-delfland,3.0,19468,VVD
midden-drenthe,5.0,33987,PVV (Partij voor de Vrijheid)
midden-groningen,4.0,61554,PVV (Partij voor de Vrijheid)
moerdijk,4.0,37712,PVV (Partij voor de Vrijheid)
molenlanden,5.0,45159,PVV (Partij voor de Vrijheid)
montferland,4.0,36883,PVV (Partij voor de Vrijheid)
montfoort,4.0,13922,PVV (Partij voor de Vrijheid)
mook en middelaar,5.0,8045,GROENLINKS / Partij van de Arbeid (PvdA)
neder-betuwe,5.0,25457,Staatkundig Gereformeerde Partij (SGP)
nederweert,4.0,17501,PVV (Partij voor de Vrijheid)
nieuwegein,2.0,65437,PVV (Partij voor de Vrijheid)
nieuwkoop,4.0,29460,PVV (Partij voor de Vrijheid)
nijkerk,3.0,44987,PVV (Partij voor de Vrijheid)
nijmegen,2.0,182465,GROENLINKS / Partij van de Arbeid (PvdA)
nissewaard,2.0,86848,PVV (Partij voor de Vrijheid)
noardeast-fryslân,5.0,45814,PVV (Partij voor de Vrijheid)
noord-beveland,5.0,7861,PVV (Partij voor de Vrijheid)
noordenveld,4.0,31597,PVV (Partij voor de Vrijheid)
noordoostpolder,4.0,49738,PVV (Partij voor de Vrijheid)
noordwijk,3.0,45186,PVV (Partij voor de Vrijheid)
"nuenen, gerwen en nederwetten",3.0,24009,VVD
nunspeet,4.0,28733,Staatkundig Gereformeerde Partij (SGP)
oegstgeest,2.0,25750,VVD
oirschot,4.0,19220,PVV (Partij voor de Vrijheid)
oisterwijk,4.0,32944,VVD
oldambt,4.0,39033,PVV (Partij voor de Vrijheid)
oldebroek,4.0,24266,PVV (Partij voor de Vrijheid)
oldenzaal,3.0,31919,Nieuw Sociaal Contract
olst-wijhe,5.0,18681,PVV (Partij voor de Vrijheid)
ommen,4.0,18947,PVV (Partij voor de Vrijheid)
